"","Species Code","Functional Type","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"1","AEVE","S","-0.746184233016914","-0.348468227762757","-0.730413044619703","0.208524406245096","0.962600755712596","-1.01741336018523","-0.560792282947548","-0.0383866475075384","0.367632065640528","0.419516276432967"
"2","ALED","F","0.396819724962788","1.61144127312113","0.245609471857164","-0.291003728306261","-0.377922299275186","0.497784986419497","-0.243823874001727","-0.518254066358639","0.711581351974719","0.444883779669539"
"3","AMIN","G","0.672700512322375","0.699774336002689","0.0475245708729363","0.053633177227947","0.231218934603419","0.210445472037603","-0.674311351379575","0.613637356253575","0.203326179531222","0.580346397287419"
"5","ANCO","S","-0.918878050954691","-0.256320160970224","-0.512722833709561","0.589394747902067","0.333177820965395","0.0832528285713541","1.04072761292814","0.726023035465478","-0.417068732808217","0.453431381733849"
"6","ANCR","S","-0.955977891791193","-0.484830409411567","-0.154268145251628","0.540607503049789","0.146380742780918","0.939372903326006","0.194502503761066","-0.16882213704191","-0.00343948149189013","0.342403528823656"
"8","ANFA","G","0.0193477919380719","-1.18737477270139","1.56717408335561","-1.55442829694037","-1.29097564281955","-0.228388009109056","0.564696059040219","-0.451597323782945","-1.24383313518888","-0.0353002631213586"
"10","BALO","F","0.511511047876711","0.41507237882535","-0.88304551150163","0.139798984912059","-0.600654291769295","-1.26144570976335","-0.0508811936849554","1.07618698318444","-0.379728870403431","0.268632489033819"
"12","BOVI","S","-0.238353564693752","-0.893637341370815","0.175854429272434","0.050127776819897","-0.516020449956382","0.120360848287214","0.0881924944424212","1.48593006843786","-0.151517581395991","-0.151833331431221"
"14","BYCO","S","-0.304250225973668","0.540996792156362","-0.372656678872109","-0.956589662416542","-0.586440262286195","0.133272775676298","-0.0924496018413777","0.295539684825291","0.170661823753345","-0.281094498767957"
"16","CABR","S","-0.865051662467565","0.735921910368696","-0.123650944536689","0.289136004063164","0.328189361019676","-0.732035980543075","-1.26218444226548","-0.861924180855338","-0.350442978262422","0.218598017570983"
"17","CAGU","F","0.785194223708872","0.577094830953928","-0.602522865676836","-0.494328728930759","0.349008220724533","-0.517337476319811","0.444317533511184","0.466145389714064","0.229362221866284","-1.26419737200839"
"19","CASY","F","0.588872705476505","-0.0479451308240373","0.11632792505864","-0.949404113292","-0.0787186836014394","0.151990506797761","0.0912404242209492","0.33621187470236","0.897629301715314","0.160597943836009"
"21","CHMA","G","0.431183630393261","0.842687432958629","0.862630922340259","-0.11478702559793","0.663422757301624","0.189696768431005","-0.714919280333402","-0.0665115350821784","0.0840358691402154","-1.15324622971651"
"22","COLA","G","0.522972823231338","-0.706282781376924","0.450222694225398","0.134037499503486","0.12964378437906","0.651519366299863","-0.706418588956537","-0.524948364466907","-0.0545705339264425","1.27804025359552"
"23","COSU","S","-1.12460412068028","-0.140159930993344","0.0607741654239596","-0.230994267658205","0.176857945834737","-0.053719702662037","0.332056065536842","-0.464589176346489","0.146383618413465","-0.18300764334659"
"24","CUTE","G","0.245728376232763","1.41843807556862","-0.393337426913216","0.225075171958141","0.460510238321799","-1.40317060722662","0.317877544038486","0.221713285231183","-2.89237956117516","-1.37058252325373"
"25","CUVE","F","1.11111379264172","-0.168919182005587","-0.401606870417282","0.420842187238558","-0.630195697360267","-0.44472755230685","-0.641794245728414","-1.41057087925364","0.817601101847582","-0.581875159620976"
"27","DARA","G","0.261784757977588","-0.626350069308915","-0.566339891844073","-0.188234825817136","0.179351983126112","0.00705158939208245","1.18489428016167","-0.515367297985948","-1.05034831803972","0.733165373342378"
"28","DIBU","S","-1.20406950518964","-0.0639340361382912","-0.92140948097794","0.226423695419295","0.120377367574612","-0.556816265801122","0.43516659388896","-0.393137628335862","0.489311112359889","0.398141722959738"
"29","DIMO","S","-0.540616644391647","-1.26934051079428","1.49652379301505","-0.24042655187151","0.382852976270628","-0.662895857548995","-0.21649718535187","-0.0113978732254449","-0.000650860941550076","-0.451344748432626"
"32","ERGR","S","-0.945655041166861","-0.641655519904571","-0.244619536288562","0.417432020778684","-0.224811197755662","0.72751580068847","0.682901690253058","-0.319723166845412","0.104147567456255","-1.3086019616056"
"33","ERSU","S","-0.803452946711876","0.225840976570296","0.3935437746476","-0.0489774647402906","0.597483681031045","-0.302297428592862","-1.69835063857744","0.414262481188147","0.268359066022605","0.0127086044851549"
"34","EUMY","G","0.823426015000588","0.529774117352159","-0.744197150851251","-0.499069287181055","-0.44236997054797","-0.618126556101197","-0.135554001989501","-0.775166243322844","-0.113223884562094","0.408875543792596"
"37","GOPO","G","-0.51186678435315","0.413418728867061","0.360045328314568","0.585879993929038","-0.772725233571931","0.29018430651261","-0.649577180635378","-0.955003570987647","-0.858734671912514","0.588611915877862"
"38","GUNI","F","0.506066987773705","-0.93894677719169","-1.02090172730441","-0.281989890102258","0.681659049977579","-0.347938524038796","0.790155784305284","-0.249133883616943","0.586196968420431","0.324948465527905"
"40","KICO","S","-1.18473006692148","-0.0324173167365073","-0.812540931284892","-0.554192182715239","0.249907451913083","0.20344909890524","0.0115456382233095","-0.252561820149018","0.306197439202276","-0.208637724990834"
"41","LAHA","G","0.642677351027068","0.804009060792619","0.226970456805486","-0.376728158471486","1.19461941839168","1.37771080938865","0.352760170876651","-0.561222162325085","-0.310462319986183","-0.695891682854133"
"42","LEEL","S","-0.390699553602962","-0.00903628024686143","0.23625698103334","-0.716330123510543","-1.00099631667434","0.432343772757128","-0.369378775449106","0.921203418284384","-0.466504714134011","-0.402534835722069"
"43","LIMO","F","0.621162268933008","0.161443365677614","0.0919917572846601","-0.300702923118","0.332527591942574","0.500375781118963","0.358911220182561","-0.664618018834459","-0.12720522209417","-0.078827126846246"
"45","LUCA","G","0.621622885592184","-0.227346279498974","-0.945222041158351","-0.0939159720328494","0.453592527410457","0.359785932018765","-0.276271487459031","0.364279202798712","-0.297929504694869","-0.323936494893091"
"46","LUGR","G","0.151565251109348","-0.725187033035442","-1.40515815938768","0.554837526057453","1.01046680523931","0.746221648249701","-0.676767586306445","0.325699224524325","-0.655026150189303","-1.03172822934583"
"47","MAAC","S","-0.0696967220798641","-0.49161333506649","0.219709315918386","-0.303373185016995","-0.632580826911723","0.0114881180985417","-1.10297303486402","0.0467428176812592","0.263936544194664","-0.0477650589635661"
"48","MABR","G","0.677602856412075","-0.650448090078334","0.496967786639633","0.451504954631812","0.59657424833353","0.131848220574949","-0.214244363840743","0.848680239345053","0.0186168947754796","0.797959965231111"
"49","MAEL","G","0.26712928168136","0.16992279183909","0.402562524119366","0.10792836001944","-0.220888465507447","0.391931210131127","0.858846889395459","0.762357389421255","0.180353527292013","0.069400188441271"
"50","MIAL","S","-0.61866107073544","1.29268326727784","0.478749613527202","-0.0232083603561837","-0.134838856988086","0.23513144922925","-0.424492108557474","-0.377892460044562","0.395122505816532","0.2382798382613"
"51","MILI","S","0.0111889075363029","0.353645203082416","0.428579268756407","-0.316982004060949","0.328263374827969","0.292068944214316","-0.243001132089271","0.713384529430703","-0.00291398849948383","-0.196037630461004"
"52","MYFA","G","-0.180572767838086","-0.164370632935298","0.753488087362291","-0.720862914373488","0.0414055879385403","0.181226846752163","0.554594826606395","-0.0657917065634414","-0.461542659823527","-0.345202350896063"
"53","MYLI","S","-0.877402695984607","0.383316593279506","0.0338125231478071","-0.359134393499599","0.246557947484684","0.752179090854282","0.372289088095963","0.369524475224323","0.107284113043342","-0.280798437574625"
"54","MYMU","G","0.752542220841932","0.720209877432742","0.69314471541836","-0.452509571761931","0.83347515731415","-0.954821609124765","0.698069231850051","-0.104059209761151","0.537172817987647","-0.0375985792800713"
"55","MYTO","G","0.289108702983428","0.818493284228629","0.453405085797921","-0.324481588109299","-0.709343821675912","-0.0683370218928649","-0.192002168818118","-0.20993656643532","0.340256465216009","-0.404287879775659"
"56","MYVE","S","0.270302406083114","0.777615709133781","0.242912517800057","-0.148402474515499","-0.844869495865466","-0.59663046862967","0.570881681250452","0.861188076203843","-0.493971983411009","1.09770286102465"
"57","NECU","F","1.11587342451707","-1.04490452688914","-0.045443302031681","1.42341151100451","-0.576130885555663","-0.301512560762445","0.310734914354067","-0.26595183608026","0.709455530800855","-0.427029273211745"
"59","OCCO","G","0.152347918376136","-0.171693491654188","0.915266651114869","1.02146471475575","-0.456927864763371","0.370750714930144","-0.0359686661694763","0.274097156114568","-0.0628614859919891","0.257695090396473"
"60","OCMI","G","0.542299860979418","-0.262184590960694","-0.168270119140377","-0.0162530395009501","-0.190041926753752","0.840310804912687","-0.962936706872851","-0.100480305860466","-0.473890383021034","0.105952238902304"
"61","OCPU","G","0.363090743880361","-0.111935422230542","1.25539260426525","1.65420829415804","-0.713847113074698","-0.797879266957785","0.829326010558802","-0.755357684380073","0.991621049474974","-1.98160423677083"
"62","OCVE","F","0.386305886332332","-0.50711926830572","-1.20773163320504","-0.276925518056154","-0.0401503576453133","-0.240016816330213","0.0637067864785881","-0.873411057205832","0.41442793917003","0.497567208343072"
"63","OUSP","S","-1.08374654924404","0.262722833442796","-0.165316328303595","0.270369475017805","-0.370357932619371","-0.379573774876345","0.0213668644503373","0.926297051840109","0.24804093839771","0.421403269949513"
"64","PEOB","G","0.481134486632389","-0.0539868073440562","0.334013603935107","0.576031380003711","0.409780992955116","0.501763613066358","0.126245900259251","0.0997020595758101","-0.65761175676184","0.674548752498363"
"66","PIAX","F","-0.0239337439433224","-0.262350932491041","-0.550195999878785","1.60434191050497","-0.270156281915401","-0.235221607882254","-1.02715884469363","0.391526149500063","-0.647119421100842","-0.52112577310272"
"68","PLEL","F","0.590279664679688","-0.739558247549808","-0.411290361111706","-0.854558011333553","-0.942088597530345","-0.87839271852679","-0.905072176032502","-0.0324218552604338","-0.421121495174776","0.168252837957024"
"69","PLPO","S","-0.391069144499574","0.072878277425455","0.23419145488766","-0.0714313099538082","-0.177939347787914","0.322398907916548","-0.619472976612275","0.780420675957427","0.578267294880875","-0.0142545360864905"
"70","PLRE","G","0.688951112004275","-1.06564212177813","-0.275749093885006","-1.56299002916713","0.0256619473104216","0.0508544020909684","-0.138654217930801","-0.893922818297074","-0.37903331453289","-0.38589133196646"
"71","POTO","S","-0.00306150225919183","-0.45565905315432","-0.917620675521462","-0.154187923086263","-1.07987263712523","1.53462749368233","0.291506104640712","0.140444183069807","0.107849712132859","-0.406856153256911"
"72","PRHE","G","0.540233965385889","-0.499921411158276","0.19107384772053","0.886986221283547","0.355374988922473","0.399958674897579","0.0498999026429964","0.447159345553771","1.0304825417478","-0.425485936800634"
"74","QUCO","S","0.0755780531045854","-0.132909095583113","-0.253966856716835","-0.0771506915032753","0.037484668257532","-0.543044724123257","-1.28857166035371","-0.198285678477004","0.579791817310128","-0.192539762511993"
"75","QUGR","S","-0.463102928412614","0.28115033465061","-0.265677971400413","0.196403079289696","-0.702032095781371","0.636222763743733","0.388587049336147","-0.501502676549931","0.0562163141019461","0.522539899686812"
"76","QUMU","S","0.228367632614634","0.176262631730278","-0.96955044167342","-0.702405635679941","-0.302151703299894","0.310912117319819","0.170345296889453","-0.578416023682121","0.0573495043425065","0.102938264373703"
"77","RAFE","G","0.45188743556218","-0.0102313045156827","-0.181809422038325","0.0138059020389823","0.194040942164838","-0.16996138390926","0.509479665227129","1.22698983262736","0.0206749826658675","-0.133875543010845"
"78","RAGU","S","-0.813173420497241","-0.122650739043224","-0.252633426273817","0.0119514612949334","0.207906587164069","-0.445095624748695","0.0883770246254208","0.116247120128344","0.188746534027033","-0.256494764047579"
"80","RAUM","G","0.0326825074562318","0.497075434488363","0.323034051150498","0.684637390656188","-0.728240786257576","-0.461707243570245","0.772936954427482","0.264294693965461","-0.0800270163861026","0.394938554335719"
"81","ROMO","S","-0.647120921433256","0.903134371328213","-0.176008700905525","-0.488283277726318","-0.613351415740359","0.09625896928258","0.297818958835912","-0.0706668292020689","1.09373112036221","0.477508421139686"
"82","SCVI","S","-0.397754476321779","0.515117834656785","0.098696371563556","0.00481695078421755","1.12293108934875","-0.0142767489037842","1.60898018479163","-0.349067840489887","0.464869171905351","0.102456923934003"
"83","SIGU","G","0.663388674642391","0.329920742848258","-0.577881727524245","0.148518794503278","0.574749393689357","0.453560884309474","0.156497153162483","0.729162304770551","0.418572621977876","0.366570839757395"
"85","STAD","S","-0.624162004830754","-0.516117807766517","0.760444164677613","-0.319032906432802","1.29862832046172","-0.621518667898848","-0.816970142936411","0.104415489532827","0.0153064530951821","-0.197219747481543"
"86","STCA","S","0.153431726854266","0.480898529783707","0.24426494949623","0.216440400974825","0.421687967123222","-0.10205553567011","0.30193105090057","-0.887550586318207","0.432098205904219","0.375606701242635"
"87","STFE","S","-0.682843248947861","0.191897413390051","0.178525515169353","0.809866839780688","-0.228771849856315","0.45997842913984","0.105936825909995","-1.5485301905115","-1.13523068521831","0.0602623345854851"
"89","STRO","S","-0.509973889819343","-0.969194049849976","0.956934352675151","-0.964777298648143","0.995479872422639","-0.742422587379292","0.174646604471488","-0.149281000375102","0.279345082682829","0.24871129623876"
"90","SYPU","S","-0.0575302061570479","0.0914806949226201","-0.140091380308516","0.228039647667887","0.60045452502444","-0.486577066196499","0.068359332326735","-0.399918544154139","-0.0133643409711294","0.692581958447925"
"91","TACA","F","0.0985075264542942","0.28487972692811","0.281779087456438","-0.676641475765589","0.365734817479611","1.17270898385265","-0.181751429050438","0.699238495543335","0.0975888590728365","-0.910934162330992"
"92","TAGU","G","0.484955868904301","0.085619853735938","0.685892677522956","0.803552395745632","0.433795831538655","0.00332677003221038","0.00795997281934386","-0.200701645247495","0.0685687196495949","1.06195834099121"
"93","TAOC","G","-0.823740889668249","-0.20502257652071","-0.500638035593016","-0.022119751483992","-1.26715399397459","-1.08932369842159","0.471601222683653","0.110837298177589","0.543664700969375","-0.667828677854978"
"94","TEGL","G","0.293314977545695","0.139945913234522","0.15344676998577","0.317071867504617","-0.935054826587279","0.273612852131367","-0.0726563310119676","0.587022112014061","0.0960211410615131","0.558712764810733"
"96","VOTU","G","-0.119269377410582","-0.156055521627331","0.295753493461336","0.676417754317182","0.0508512989229653","0.975549791373399","-0.0253220030895468","-0.309420658314365","-1.11529772161274","0.352430522619567"
"97","ZARH","G","0.596949864336286","-0.443063811280092","0.450997329030729","0.184294561691905","0.533932155629775","-0.746323091410816","0.460348567469705","0.328939649247335","-0.400806017690864","1.07658889420376"
