"","Code","N","N_leaf","N_wood","N_bark","N_height","Leaf_size","Total_leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit","Genus","Species","Family","Old.name","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"56","CESE",2,2,2,2,3,0,0,0,3.5,NA,NA,NA,0,0,NA,0,"F","shrub","Cestrum","mariquitense","Solanaceae","Cestrum mariquitense","F","shrub","Cestrum mariquitense","CEMA","Kunth","",NA,"F","F","F"
"57","PEOB",21,11,5,17,315,1875.1472526,1875.1472526,0.256,14,7.83175828589748,0.682289503088463,3.31664198291269,104.651650987273,4.01898155020635,0.758229352,0.542815699,"F","tree","Pera","obovata","Peraceae","Pera obovata","G","tree","Pera glabrata","PEGL","(Schott) Poepp. ex Baill.","",NA,"G","G","F"
"58","ANDI",5,5,5,5,6,10233.4578214,10233.4578214,0.473333333333333,2,1.76065296093025,0.634975879040408,3.92757348325511,114.497480302,0,1.1873338384,0.3241228446,"S","shrub","Annona","dioica","Annonaceae","Annona dioica","S","shrub","Annona dioica","ANDI","A. St.-Hil.","",NA,"S","S","S"
"59","SOLY",5,5,5,5,5,10136.90954825,10136.90954825,0.471666666666667,1.2,NA,0.798383838383838,NA,123.34635987,0,0.8431484528,0.5145645706,"S","shrub","Solanum","lycocarpum","Solanaceae","Solanum lycocarpum","S","shrub","Solanum lycocarpum","SOLY","A.St.-Hil.","",NA,"S","S","S"
"60","TAOC",5,5,5,5,18,2749.76989606,13366.7047882,0.432666666666667,14,3.10054958320472,0.399668057910526,3.39088704633324,61.347419242,12.5582691953249,1.54921772,0.6227994928,"G","tree","Tabebuia","ochracea","Bignoniaceae","Tabebuia ochracea","S","tree","Handroanthus ochraceus","HAOC","(Cham.) Mattos","",NA,"G","G","G"
"61","OUSP",11,10,6,11,36,5549.4429898,5549.4429898,0.438666666666667,7,3.58890789157405,0.597480895660863,3.73681126293597,59.339025666,11.4912847462648,1.795495944,0.590901634833333,"S","tree","Ouratea","spectabilis","Ochnaceae","Ouratea spectabilis","S","tree","Ouratea spectabilis","OUSP","(Mart. ex Engl.) Engl.","",NA,"S","S","S"
"62","TACA",10,10,5,6,50,1424.29105842,1424.29105842,0.221333333333333,9,4.92209714807763,0.773576616908271,2.65330087784715,107.017547272,5.41249092311083,1.1445275936,0.613289801,"F","tree","Tabernaemontana","catharinensis","Apocynaceae","Tabernaemontana catharinensis","G","tree","Tabernaemontana catharinensis","TACA","A.DC.","",NA,"G","F","F"
"63","OCCO",24,11,6,15,603,1410.84889908333,1410.84889908333,0.256666666666667,20,6.90549922396162,0.748114716991499,3.6943548807615,70.3537912836364,5.66586722004789,0.850578966666667,0.614587759166667,"G","tree","Ocotea","corymbosa","Lauraceae","Ocotea corymbosa","G","tree","Ocotea corymbosa","OCCO","(Meisn.) Mez","",NA,"G","G","G"
"64","ERCU",5,5,5,5,15,83.385673292,83.385673292,0.201333333333333,4,NA,0.600868574714678,NA,104.50157461,0,1.1555639824,0.7773700504,"G","shrub","Erythroxylum","cuneifolium","Erythroxylaceae","Erythroxylum cuneifolium","S","shrub","Erythroxylum cuneifolium","ERCU","(Mart.) O.E.Schulz","",NA,"G","G","G"
"65","BADR",6,6,6,6,17,88.4078313066667,88.4078313066667,0.186111111111111,3.5,NA,0.502902285820376,NA,159.01649115,0,0.646053978666667,0.547898852166667,"G","treelet","Baccharis","dracunculifolia","Asteraceae","Baccharis dracunculifolia","G","treelet","Baccharis dracunculifolia","BADR","DC.","",NA,"G","G","G"
"66","PEWI",1,1,1,1,1,0,0,0,20,NA,NA,NA,0,0,NA,0,"F","tree","Persea","willdenovii","Lauraceae","Persea willdenovii","F","tree","Persea willdenovii","PEWI","Kosterm.","",NA,"G","F","F"
"67","PRMY",1,1,1,1,7,0,0,0,15,NA,NA,NA,0,0,NA,0,"F","tree","Prunus","myrtifolia","Rosaceae","Prunus myrtifolia","G","tree","Prunus myrtifolia","PRMY","(L.) Urb.","",NA,"F","F","F"
"68","AMIN",13,11,6,13,276,5158.53812533333,5158.53812533333,0.235555555555556,9,7.08591993060454,0.64426230538162,2.98318822608207,109.414572590909,3.09208703704215,0.792018446666667,0.719115994,"F","tree","Amaioua","intermedia","Rubiaceae","Amaioua intermedia","G","tree","Amaioua intermedia","AMIN","Mart. ex Schult. & Schult.f.","",NA,"G","F","F"
"69","QUMU",5,5,5,5,15,5188.2059162,5188.2059162,0.297333333333333,9,5.79916413608367,0.434912181163718,2.32006732778855,104.862559978,7.39682894657035,0.9282454096,0.5817943682,"S","tree","Qualea","multiflora","Vochysiaceae","Qualea multiflora","S","tree","Qualea multiflora","QUMU","Mart.","",NA,"G","G","S"
"70","POTO",6,6,6,6,11,7829.0591055,7829.0591055,0.285555555555556,18,6.70326147819153,0.505689267183174,2.40179715331558,95.12135381,14.6425043885194,1.61962436533333,0.534070578333333,"S","tree","Pouteria","torta","Sapotaceae","Pouteria torta","S","tree","Pouteria torta","POTO","(Mart.) Radlk.","",NA,"S","S","S"
"71","STPO",4,4,3,1,1,4406.74961325,4406.74961325,0.2925,12,NA,0.630952380952381,NA,99.7007266975,0,0.936932506666667,0.532833551333333,"F","tree","Styrax","pohlii","Styracaceae","Styrax pohlii","F","tree","Styrax pohlii","STPO","A. DC.","",NA,"F","F","F"
"72","PRHE",10,10,5,10,14,3687.8873574,22844.9929474,0.194,20,6.79389897125196,0.603060358682118,3.5312195774943,106.56851605,2.89486592189077,0.9771712624,0.5261088164,"F","tree","Protium","heptaphyllum","Burseraceae","Protium heptaphyllum","G","tree","Protium heptaphyllum","PRHE","(Aubl.) Marchand","",NA,"F","F","F"
"73","SIGU",11,11,6,11,389,9145.81492783333,9145.81492783333,0.247777777777778,10,7.46032062441607,0.557039910424693,2.86673140016002,125.29411619,2.39421368297788,0.619416176,0.589690087666667,"G","tree","Siparuna","guianensis","Siparunaceae","Siparuna guianensis","G","tree","Siparuna guianensis","SIGU","Aubl.","",NA,"G","G","G"
"74","JACA",5,5,5,5,10,106.108072886,14859.099198,0.154666666666667,10,4.6984744541804,0.547477552555661,3.90370200329488,126.66884648,2.33706127093801,0.6212907312,0.4824396744,"S","shrub","Jacaranda","caroba","Bignoniaceae","Jacaranda caroba","S","shrub","Jacaranda caroba","JACA","(Vell.) DC.","",NA,"S","S","S"
"75","BYBA",1,1,1,1,2,0,0,0,10,NA,NA,NA,0,0,NA,0,"S","tree","Byrsonima","basiloba","Malpighiaceae","Byrsonima basiloba","S","tree","Byrsonima basiloba","BYBA","A.Juss.","",NA,"S","S","S"
"76","RALA",4,4,4,1,6,1212.1845763,1212.1845763,0.233333333333333,6,4.77386600152629,0.631578947368421,3.27265113767104,87.090005815,0,0.878574032,0.68865543475,"F","tree","Rapanea","lancifolia","Primulaceae","Rapanea lancifolia","F","tree","Myrsine lancifolia","MYRSLAN","Mart.","",NA,"G","G","F"
"77","CALU",1,1,1,1,4,0,0,0,8,NA,NA,NA,0,0,NA,0,"F","tree","Calyptranthes","lucida","Myrtaceae","Calyptranthes lucida","F","tree","Calyptranthes lucida","CALU","Mart. ex DC.","",NA,"F","F","F"
"78","CUVE",6,5,5,6,34,4959.7501476,59590.84174,0.210666666666667,22,6.72727700046927,0.397551526460968,2.83945900779344,119.308988908,4.19067976836006,0.4735999904,0.6651306272,"F","tree","Cupania","vernalis","Sapindaceae","Cupania vernalis","F","tree","Cupania vernalis","CUVE","Cambess.","",NA,"F","F","F"
"79","PLEL",9,5,5,9,52,618.52783586,6928.4827472,0.208,14,6.91867145674055,0.341489181694882,2.92052045178202,118.88087017,12.9510815515688,0.8582004672,0.6970529618,"G","tree","Platypodium","elegans","Fabaceae","Platypodium elegans","F","tree","Platypodium elegans","PLEL","Vogel","",NA,"G","G","G"
"80","LUGR",5,5,5,5,15,14117.5985416,14117.5985416,0.303333333333333,14,6.24881055774761,0.497734433974642,3.29184810807442,194.614704198,8.05635509887147,1.222605688,0.3739187998,"G","tree","Luehea","grandiflora","Malvaceae","Luehea grandiflora","G","tree","Luehea grandiflora","LUGR","Mart.","",NA,"G","G","G"
"81","DAEL",5,5,5,5,5,1511.23642676,1511.23642676,0.321333333333333,2,1.5957447403167,0.861546345811052,3.6497332316676,77.58489149,6.27559115067571,0.872492504,0.6358123858,"S","shrub","Davilla","elliptica","Dilleniaceae","Davilla elliptica","S","shrub","Davilla elliptica","DAEL","A.St.-Hil.","",NA,"S","S","S"
"82","CAGU",7,7,7,7,11,2998.87615285714,2998.87615285714,0.297619047619048,10,5.69213530220612,0.492506376975859,2.64060861529166,129.402996445714,1.85981642773865,0.803159728,0.712302340285714,"F","tree","Campomanesia","guazumifolia","Myrtaceae","Campomanesia guazumifolia","F","tree","Campomanesia guazumifolia","CAGU","(Cambess.) O.Berg","",NA,"F","F","F"
"83","OCVE",8,6,6,8,28,6015.256031,6015.256031,0.255555555555556,12,6.47374813495034,0.342168085221424,2.76684222357247,116.231555285,7.23257638271559,0.977492224,0.488697248666667,"G","tree","Ocotea","velloziana","Lauraceae","Ocotea velloziana","F","tree","Ocotea velloziana","OCVE","(Meisn.) Mez","",NA,"G","G","G"
"84","OCMI",7,6,6,7,51,2820.873337,2820.873337,0.217222222222222,15,7.33822096571915,0.583210040024519,2.89059309094153,121.749595138333,9.51924661676313,0.979153181333333,0.600404942,"F","tree","Ocotea","minarum","Lauraceae","Ocotea minarum","G","tree","Ocotea minarum","OCMI","(Nees & Mart.) Mez","",NA,"G","G","F"
"85","EUMY",6,5,5,6,33,3897.37036925,3897.37036925,0.29,10,6.82088482268239,0.394003028177179,2.41888110607578,112.767566504,4.13401118622611,0.5783358048,0.7133427896,"G","tree","Eugenia","myrcianthes","Myrtaceae","Eugenia myrcianthes","G","tree","Eugenia myrcianthes","EUMY","Nied.","",NA,"G","G","G"
"86","ANCA",6,6,3,3,6,9025.41235366667,9025.41235366667,0.192777777777778,20,9.66970150840603,0.415132495658392,3.23127167772502,126.246897556667,5.16749534525805,1.27712738666667,0.327291104666667,"F","tree","Annona","cacans","Annonaceae","Annona cacans","F","tree","Annona cacans","ANCA","Warm.","",NA,"F","F","F"
"87","MYVE",5,5,5,5,19,1418.05532784,1418.05532784,0.353333333333333,9,7.23505054704771,0.55775035463357,2.97779292398515,69.125645602,3.88965542403425,0.8737355648,0.789898012,"G","tree","Myrcia","venulosa","Myrtaceae","Myrcia venulosa","S","tree","Myrcia venulosa","MYRCVEN","DC.","",NA,"G","G","G"
"88","EUPU",2,2,2,2,13,0,0,0,7,6.71853789761731,NA,2.60275245518896,0,0,NA,0,"S","treelet","Eugenia","punicifolia","Myrtaceae","Eugenia punicifolia","S","treelet","Eugenia punicifolia","EUPU","(Kunth) DC.","",NA,"S","S","S"
"89","GUNI",5,5,5,5,22,2459.953583,2459.953583,0.214,12,6.88588646307761,0.341829797035139,2.99264737728177,130.6850564,3.81106254465104,1.1886970208,0.4001423552,"F","tree","Guatteria","nigrescens","Annonaceae","Guatteria nigrescens","F","tree","Guatteria australis","GUAU","A.St.-Hil.","",NA,"F","F","F"
"90","PLRE",5,5,5,5,23,195.798018534,14340.7205462,0.156666666666667,12,6.27777505856971,0.378705010264058,2.36979738765573,153.1347917,9.97388470213615,0.8819891584,0.5204944488,"S","tree","Plathymenia","reticulata","Fabaceae","Plathymenia reticulata","S","tree","Plathymenia reticulata","PLRE","Benth.","",NA,"G","S","S"
"91","CUTE",6,5,5,6,26,1401.44775362,15759.1334798,0.757333333333333,6,5.09722881566669,0.598583558775686,3.08428039785961,138.137229856,2.35260046144983,0.6166116752,0.7373822044,"F","treelet","Cupania","tenuivalvis","Sapindaceae","Cupania tenuivalvis","G","treelet","Cupania tenuivalvis","CUTE","Radlk.","",NA,"F","F","F"
"92","NECU",5,5,5,5,18,2794.0732088,2794.0732088,0.2,30,8.72873950418272,0.422745286648711,3.56435900972767,111.503659808,2.94934309703741,0.7386191184,0.5555771528,"F","tree","Nectandra","cuspidata","Lauraceae","Nectandra cuspidata","F","tree","Nectandra cuspidata","NECU","Nees","",NA,"G","F","F"
"93","NEOP",1,1,1,1,4,0,0,0,20,NA,NA,NA,0,0,NA,0,"F","tree","Nectandra","oppositifolia","Lauraceae","Nectandra oppositifolia","F","tree","Nectandra oppositifolia","NEOP","Nees","",NA,"F","F","F"
"94","ANFA",17,10,5,16,62,7.3282361042,11422.4173282,0.176666666666667,16,5.84421909747337,0.530807844132035,2.87149019561352,99.119872232,18.6336275501741,1.2186526672,0.6388030136,"G","tree","Anadenanthera","falcata","Fabaceae","Anadenanthera falcata","G","tree","Anadenanthera peregrina","ANFA","(Benth.) Altschul","",NA,"G","G","G"
"95","LUCA",5,5,5,5,19,5463.9817062,5463.9817062,0.253333333333333,12,7.15349492219173,0.470785555823413,2.82207973019215,159.345684858,4.90131470470743,0.9614381712,0.5407094378,"F","tree","Luehea","candicans","Malvaceae","Luehea candicans","G","tree","Luehea candicans","LUCA","Mart.","",NA,"G","F","F"
"96","LISA",5,5,5,5,39,571.4362101,571.4362101,0.386,4,NA,0.53304557199906,NA,123.58378344,0,0.4812318832,0.6853979484,"S","shrub","Lippia","salviifolia","Verbenaceae","Lippia salviifolia","S","shrub","Lippia origanoides","LIOR","Cham.","",NA,"S","S","S"
"97","BALO",6,5,5,6,17,5804.3213876,5804.3213876,0.382,11,7.24422804568854,0.387345315649892,3.14955053623399,114.20866211,3.66450626919286,1.0262937232,0.7607245802,"F","tree","Bauhinia","longifolia","Fabaceae","Bauhinia longifolia","F","tree","Bauhinia longifolia","BALO","(Bong.) Steud.","Bauhinia rufa",NA,"F","F","F"
"98","PIAX",12,10,5,12,20,14217.568592,14217.568592,0.402,20,6.33259475723848,0.552921481642185,4.00462212155516,114.128926116,8.98706840887262,0.9544231248,0.5718425744,"F","tree","Piptocarpha","axillaris","Asteraceae","Piptocarpha axillaris","F","tree","Piptocarpha axillaris","PIAX","(Less.) Baker","",NA,"G","F","F"
"99","CEPA",5,5,5,5,5,168492.66666,168492.66666,0.303333333333333,11.5,3.69957874386767,0.290565576141757,4.29825537748383,101.4038998,2.3585805558544,0.586694288,0.3881435332,"F","tree","Cecropia","pachystachya","Urticaceae","Cecropia pachystachya","G","tree","Cecropia pachystachya","CEPA","Trécul","",NA,"F","F","F"
"100","TAAU",5,4,5,5,5,14330.016669,71650.083335,0.49625,30,NA,0.481492198898743,NA,55.8571272675,15.1577739973362,2.1648264112,0.536399952,"G","tree","Tabebuia","aurea","Bignoniaceae","Tabebuia aurea","S","tree","Tabebuia aurea","TAAU","(Silva Manso) Benth. & Hook.f. ex S.Moore","",NA,"G","G","G"
"101","ERTO",5,5,5,5,5,5577.7808888,5577.7808888,0.416666666666667,4,2.53821995206147,0.442969916947777,3.52039729998507,76.214614998,13.9475159438351,2.2784354848,0.6309101454,"S","treelet","Erythroxylum","tortuosum","Erythroxylaceae","Erythroxylum tortuosum","S","treelet","Erythroxylum tortuosum","ERTO","Mart.","",NA,"S","S","S"
"102","ASTO",5,5,5,5,11,7546.9511112,7546.9511112,0.368,20,3.53447379821402,0.486690220015626,3.28346751450612,69.428100584,10.1730449322866,1.8234593088,0.608864309,"S","tree","Aspidosperma","tomentosum","Apocynaceae","Aspidosperma tomentosum","S","tree","Aspidosperma tomentosum","ASTO","Mart. & Zucc.","",NA,"S","S","S"
"103","ZETU",5,5,5,5,6,41382.453334,206912.26664,0.269,23,4.74485190398856,0.315790937640145,1.87026537809659,205.46487714,9.09281611964734,1.6315392768,0.586623411,"F","tree","Zeyheria","tuberculosa","Bignoniaceae","Zeyheria tuberculosa","G","tree","Zeyheria tuberculosa","ZETU","(Vell.) Bureau ex Verl.","",NA,"F","F","F"
"104","ERDE",5,5,5,5,7,2633.0469778,2633.0469778,0.261333333333333,8,3.51809528700953,0.482908254069771,3.17562664126072,78.635952192,4.87879658741741,1.0394064,0.7614562452,"G","tree","Erythroxylum","deciduum","Erythroxylaceae","Erythroxylum deciduum","G","tree","Erythroxylum deciduum","ERDE","A.St.-Hil.","",NA,"G","G","G"
"105","HEAP",1,1,1,1,6,0,0,0,18,8.66123542451431,NA,2.72235895024383,0,0,NA,0,"F","tree","Helietta","apiculata","Rutaceae","Helietta apiculata","F","tree","Helietta apiculata","HEAP","Benth.","",NA,"F","F","F"
"106","AESE",5,5,4,5,9,25938.131866,25938.131866,0.283666666666667,9.4,5.27500747828111,0.528112403262002,3.23255368929633,114.74485332,5.85147686459038,0.679948562,0.41676859225,"F","tree","Aegiphila","sellowiana","Lamiaceae","Aegiphila sellowiana","F","tree","Aegiphila integrifolia","AEIN","(Jacq.) Moldenke","",NA,"G","F","F"
"107","MAGU",5,5,5,5,6,1570.9053334,1570.9053334,0.1325,14,5.0462032841041,0.691088921444551,3.19044336312729,167.17417752,1.45737802120845,0.5504640128,0.5901921362,"F","tree","Maprounea","guianensis","Euphorbiaceae","Maprounea guianensis","G","tree","Maprounea guianensis","MAGU","Aubl.","",NA,"G","F","F"
"108","CRFL",5,5,5,5,11,15036.696488,15036.696488,0.282333333333333,13,6.47467927238779,0.616056523007467,3.43922403807768,102.542776126,4.03636706335359,0.6134450656,0.5296058936,"F","tree","Croton","floribundus","Euphorbiaceae","Croton floribundus","F","tree","Croton floribundus","CRFL","Spreng.","",NA,"F","F","F"
"109","MISE",5,5,5,5,10,3635.1047556,3635.1047556,0.179333333333333,15,4.738474980298,0.649791834297946,2.74893684627389,120.8194446,2.73126803952467,0.5279641664,0.6077607482,"F","tree","Miconia","sellowiana","Melastomataceae","Miconia sellowiana","G","tree","Miconia sellowiana","MISE","Naudin","",NA,"G","G","F"
"110","DAFA",5,5,5,5,6,2447.0236,2447.0236,0.222666666666667,8,NA,0.456310357013486,2.34601236120551,113.224953488,0,1.0018104256,0.5912125312,"F","tree","Daphnopsis","fasciculata","Thymelaeaceae","Daphnopsis fasciculata","G","tree","Daphnopsis fasciculata","DAFA","(Meisn.) Nevling","",NA,"F","F","F"
"111","GUVI",3,3,3,3,3,22152.0053333333,22152.0053333333,0.2,7,NA,0.552683914390976,NA,130.4967849,4.74786793079356,0.821422256,0.658758769666667,"F","tree","Guettarda","viburnoides","Rubiaceae","Guettarda viburnoides","F","tree","Guettarda viburnoides","GUVI","Cham. & Schltdl.","",NA,"G","F","F"
"112","FAMO",3,3,3,0,3,11604.1851833333,11604.1851833333,0.203333333333333,12,NA,NA,NA,116.923904166667,0,0.784492536,0.687995786333333,"F","tree","Faramea","montevidensis","Rubiaceae","Faramea montevidensis","G","tree","Faramea montevidensis","FAMO","(Cham. & Schltdl.) DC.","",NA,"F","F","F"
"113","PORA",3,3,3,0,7,11208.7037023333,11208.7037023333,0.187777777777778,30,NA,NA,NA,94.0553568,0,1.04830757866667,0.689815386,"S","tree","Pouteria","ramiflora","Sapotaceae","Pouteria ramiflora","G","tree","Pouteria ramiflora","PORA","(Mart.) Radlk.","",NA,"S","S","S"
"114","BYLA",3,3,3,0,0,5741.82666666667,5741.82666666667,0.29,20,NA,NA,NA,75.54391964,0,0.988575538666667,0.574483239666667,"F","tree","Byrsonima","laxiflora","Malpighiaceae","Byrsonima laxiflora","G","tree","Byrsonima laxiflora","BYLA","Griseb.","",NA,"G","F","F"
"115","SYRE",3,3,3,0,0,3341.585926,3341.585926,0.311111111111111,18,NA,NA,NA,110.5410585,0,0.921579045333333,0.491789207333333,"F","tree","Symplocos","mosenii","Symplocaceae","Symplocos mosenii","G","tree","Symplocos revoluta","SYRE","Casar.","",NA,"F","F","F"
"116","XYAR",3,3,3,0,0,4327.29074066667,4327.29074066667,0.265555555555556,6,NA,NA,NA,99.00391546,0,1.05828479466667,0.396054489,"S","tree","Xylopia","aromatica","Annonaceae","Xylopia aromatica","G","tree","Xylopia aromatica","XYAR","(Lam.) Mart.","",NA,"G","G","S"
