"","x"
"1","Lithraea molleoides"
"2","Tapirira guianensis"
"3","Annona cacans"
"4","Annona coriacea"
"5","Annona crassiflora"
"6","Annona dioica"
"7","Annona nutans"
"8","Duguetia furfuracea"
"9","Guatteria australis"
"10","Annona sylvatica"
"11","Xylopia aromatica"
"12","Aspidosperma tomentosum"
"13","Hancornia speciosa"
"14","Tabernaemontana catharinensis"
"15","Dendropanax cuneatus"
"16","Didymopanax vinosus"
"17","Baccharis dracunculifolia"
"18","Chromolaena laevigata"
"19","Chromolaena maximiliani"
"20","Chromolaena oxylepis"
"21","Chromolaena squalida"
"22","Moquiniastrum barrosoae"
"23","Moquiniastrum polymorphum"
"24","Moquiniastrum pulchrum"
"25","Lepidaploa chamissonis"
"26","Lessingianthus bardanoides"
"27","Piptocarpha axillaris"
"28","Piptocarpha rotundifolia"
"29","Vernonanthura phosphorica"
"30","Vernonia sp1."
"31","Vernonia sp2."
"32","Adenocalymma axillare"
"33","Cybistax antisyphilitica"
"34","Fridericia platyphylla"
"35","Jacaranda caroba"
"36","Jacaranda micrantha"
"37","Jacaranda oxyphylla"
"38","Jacaranda rufa"
"39","Jacaranda sp2"
"40","Handroanthus ochraceus"
"41","Zeyheria montana"
"42","Zeyheria tuberculosa"
"43","Tabebuia aurea"
"44","Cordia sellowiana"
"45","Cordia trichotoma"
"46","Protium heptaphyllum"
"47","Kielmeyera coriacea"
"48","Caryocar brasiliense"
"49","Maytenus robusta"
"50","Plenckia populnea"
"51","Terminalia glabrescens"
"52","Connarus suberosus"
"53","Dasyphyllum sp2"
"54","Davilla elliptica"
"55","Diospyros lasiocalyx"
"56","Erythroxylum cuneifolium"
"57","Erythroxylum deciduum"
"58","Erythroxylum pelleterianum"
"59","Erythroxylum suberosum"
"60","Erythroxylum tortuosum"
"61","Maprounea guianensis"
"62","Actinostemon schomburgkii"
"63","Croton floribundus"
"64","Anadenanthera peregrina"
"65","Bauhinia longifolia"
"66","Bauhinia rufa"
"67","Bowdichia virgilioides"
"68","Chamaecrista cathartica"
"69","Dalbergia miscolobium"
"70","Dimorphandra mollis"
"71","Hymenaea stigonocarpa"
"72","Leptolobium elegans"
"73","Machaerium acutifolium"
"74","Machaerium brasiliense"
"75","Machaerium stipitatum"
"76","Mimosa dolens"
"77","Parapiptadenia rigida"
"78","Piptadenia gonoacantha"
"79","Plathymenia reticulata"
"80","Platypodium elegans"
"81","Senna pendula"
"82","Senna rugosa"
"83","Stryphnodendron adstringens"
"84","Stryphnodendron rotundifolium"
"85","Sweetia fruticosa"
"86","Copaifera langsdorffii"
"87","Lacistema hasslerianum"
"88","Aegiphila verticillata"
"89","Vitex megapotamica"
"90","Aegiphila integrifolia"
"91","Nectandra cuspidata"
"92","Nectandra lanceolata"
"93","Nectandra oppositifolia"
"94","Ocotea corymbosa"
"95","Ocotea diospyrifolia"
"96","Ocotea minarum"
"97","Ocotea puberula"
"98","Ocotea pulchella"
"99","Ocotea sp1."
"100","Ocotea velloziana"
"101","Ocotea velutina"
"102","Persea willdenovii"
"103","Cariniana estrellensis"
"104","Lafoensia vandelliana"
"105","Heteropterys sp2"
"106","Heteropterys byrsonimifolia"
"107","Banisteriopsis campestris"
"108","Byrsonima basiloba"
"109","Byrsonima coccolobifolia"
"110","Byrsonima intermedia"
"111","Byrsonima laxiflora"
"112","Eriotheca gracilipes"
"113","Helicteres brevispira"
"114","Luehea candicans"
"115","Luehea grandiflora"
"116","Leandra melastomoides"
"117","Miconia albicans"
"118","Miconia fallax"
"119","Miconia ligustroides"
"120","Miconia paucidens"
"121","Miconia sellowiana"
"122","Miconia stenostachya"
"123","Pleroma stenocarpum"
"124","Cedrela fissilis"
"125","Trichilia pallida"
"126","Mollinedia widgrenii"
"127","Brosimum gaudichaudii"
"128","Ficus sp2"
"129","Ficus citrifolia"
"130","Ficus gomelleira"
"131","Blepharocalyx salicifolius"
"132","Calyptranthes concinna"
"133","Calyptranthes lucida"
"134","Campomanesia adamantium"
"135","Campomanesia guaviroba"
"136","Campomanesia guazumifolia"
"137","Campomanesia xanthocarpa"
"138","Eugenia aurata"
"139","Eugenia bimarginata"
"140","Eugenia florida"
"141","Eugenia livida"
"142","Eugenia myrcianthes"
"143","Eugenia punicifolia"
"144","Eugenia pyriformis"
"145","Eugenia sp6"
"146","Eugenia speciosa"
"147","Gomidesia sp2"
"148","Gomidesia elliptica"
"149","Myrcia splendens"
"150","Myrcia lasiantha"
"151","Myrcia guianensis"
"152","Myrcia multiflora"
"153","Myrcia tomentosa"
"154","Myrcia venulosa"
"155","Myrciaria floribunda"
"156","Gen1 sp2"
"157","Psidium australe"
"158","Psidium grandifolium"
"159","Psidium guajava"
"160","Psidium laruotteanum"
"161","Psidium salutare"
"162","Guapira graciliflora"
"163","Guapira hirsuta"
"164","Guapira opposita"
"165","Ouratea spectabilis"
"166","Pera glabrata"
"167","Pinus elliottii"
"168","Piper mollicomum"
"169","Myrsine coriacea"
"170","Myrsine guianensis"
"171","Myrsine umbellata"
"172","Myrsine lancifolia"
"173","Roupala montana"
"174","Rhamnidium elaeocarpum"
"175","Prunus myrtifolia"
"176","Alibertia edulis"
"177","Amaioua intermedia"
"178","Chiococca alba"
"179","Chomelia obtusa"
"180","Coutarea hexandra"
"181","Faramea montevidensis"
"182","Ixora venulosa"
"183","Palicourea marcgravii"
"184","Psychotria carthagenensis"
"185","Psychotria vellosiana"
"186","Randia calycina"
"187","Tocoyena formosa"
"188","Guettarda viburnoides"
"189","Citrus limon"
"190","Esenbeckia febrifuga"
"191","Helietta apiculata"
"192","Zanthoxylum rhoifolium"
"193","Casearia decandra"
"194","Casearia gossypiosperma"
"195","Casearia lasiophylla"
"196","Casearia sylvestris"
"197","Cupania tenuivalvis"
"198","Cupania vernalis"
"199","Matayba elaeagnoides"
"200","Chrysophyllum marginatum"
"201","Pouteria ramiflora"
"202","Pouteria sp1."
"203","Pouteria torta"
"204","Siparuna guianensis"
"205","Cestrum mariquitense"
"206","Solanum lycocarpum"
"207","Styrax camporum"
"208","Styrax ferrugineus"
"209","Styrax pohlii"
"210","Symplocos revoluta"
"211","Symplocos pubescens"
"212","Daphnopsis fasciculata"
"213","Daphnopsis racemosa"
"214","Cecropia pachystachya"
"215","Lantana camara"
"216","Lippia origanoides"
"217","Qualea cordata"
"218","Qualea grandiflora"
"219","Qualea multiflora"
"220","Vochysia tucanorum"
"221","Guatteria nigrescens"
"222","Rollinia sylvatica"
"223","Schefflera vinosa"
"224","Chromolaena maximilianii"
"225","Gochnatia barrosii"
"226","Gochnatia polymorpha"
"227","Gochnatia pulchrum"
"228","Jacaranda sp1"
"229","Tabebuia ochracea"
"230","Dasyphyllum sp1"
"231","Diospyros burchelli"
"232","Anadenanthera falcata"
"233","Aegiphila sellowiana"
"234","Heteropterys sp1"
"235","Tibouchina stenocarpa"
"236","Ficus sp1"
"237","Eugenia sp5"
"238","Gomidesia sp1"
"239","Myrcia lingua"
"240","Gen1 sp1"
"241","Pera obovata"
"242","Rapanea ferruginea"
"243","Rapanea guianensis"
"244","Rapanea umbellata"
"245","Rapanea lancifolia"
"246","Symplocos mosenii"
"247","Lippia salviifolia"
